Type ,Name       ,Request Count ,Failure Count ,Median Response Time ,Average Response Time ,Min Response Time  ,Max Response Time  ,Average Content Size ,Requests/s        ,Failures/s ,50% ,66%  ,75%  ,80%  ,90%  ,95%  ,98%  ,99%  ,99.9% ,99.99% ,100%
GET  ,/          ,22661         ,0             ,620.0                ,686.0100739353505     ,1.7283189999943716 ,1820.2351189997898 ,11.0                 ,98.1907207658494  ,0.0        ,620 ,1000 ,1200 ,1300 ,1400 ,1500 ,1500 ,1600 ,1700  ,1800   ,1800
POST ,/login     ,22310         ,0             ,680.0                ,739.8630925711354     ,48.17444099990098  ,1857.2384980002425 ,99.0                 ,96.66982835206302 ,0.0        ,680 ,1100 ,1300 ,1400 ,1500 ,1500 ,1600 ,1600 ,1800  ,1900   ,1900
POST ,/register  ,22492         ,0             ,690.0                ,755.3494069234396     ,52.70074300005945  ,1869.7350940001343 ,82.0                 ,97.45843923328559 ,0.0        ,690 ,1100 ,1300 ,1400 ,1500 ,1600 ,1600 ,1600 ,1800  ,1900   ,1900
GET  ,/user      ,22161         ,0             ,630.0                ,689.2725135808386     ,2.4813560003167368 ,1820.1287659999252 ,18.0                 ,96.02420735589729 ,0.0        ,630 ,1000 ,1300 ,1400 ,1400 ,1500 ,1500 ,1600 ,1700  ,1800   ,1800
     ,Aggregated ,89624         ,0             ,660.0                ,717.6237047520526     ,1.7283189999943716 ,1869.7350940001343 ,52.45473310720343    ,388.3431957070953 ,0.0        ,660 ,1000 ,1300 ,1400 ,1500 ,1500 ,1600 ,1600 ,1800  ,1900   ,1900
