Type ,Name       ,Request Count ,Failure Count ,Median Response Time ,Average Response Time ,Min Response Time  ,Max Response Time ,Average Content Size ,Requests/s         ,Failures/s         ,50%  ,66%  ,75%  ,80%  ,90%  ,95%  ,98%  ,99%   ,99.9% ,99.99% ,100%
GET  ,/          ,12871         ,4362          ,1200.0               ,1956.3762488766995    ,1.012581999930262  ,60016.234768      ,7.387304793722321    ,55.899288209991994 ,18.944347383418933 ,1200 ,2800 ,3300 ,3400 ,4400 ,5500 ,8500 ,12000 ,36000 ,60000  ,60000
POST ,/login     ,8347          ,342           ,2800.0               ,2406.8120073027426    ,1.0153160001209471 ,60010.91787000019 ,94.96369953276627    ,36.25136809018749  ,1.4853202212584307 ,2800 ,3300 ,3400 ,3500 ,3900 ,4700 ,5400 ,5600  ,12000 ,60000  ,60000
POST ,/register  ,12704         ,4208          ,1300.0               ,1749.8805279032588    ,0.9263499998724001 ,60010.61475999995 ,54.87822732997481    ,55.17400026569329  ,18.275518979694375 ,1300 ,2900 ,3300 ,3400 ,3600 ,4500 ,5200 ,5600  ,20000 ,60000  ,60000
GET  ,/user      ,8189          ,520           ,2700.0               ,2319.045340666502     ,0.93426500006899   ,60008.57017099997 ,16.918182928318476   ,35.56516752013243  ,2.258381622966035  ,2700 ,3200 ,3400 ,3400 ,3700 ,4600 ,5300 ,5600  ,19000 ,60000  ,60000
     ,Aggregated ,42111         ,9432          ,2000.0               ,2053.889079942271     ,0.9263499998724001 ,60016.234768      ,40.926598750920185   ,182.8898240860052  ,40.96356820733777  ,2000 ,3200 ,3400 ,3400 ,3800 ,4700 ,5700 ,7700  ,22000 ,60000  ,60000
